127.0.0.1 - - [10/Mar/2020:09:16:56 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [10/Mar/2020:09:16:56 +0900] "GET /javaWeb2/js16dom_category.html HTTP/1.1" 200 3783
0:0:0:0:0:0:0:1 - - [10/Mar/2020:09:16:56 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [10/Mar/2020:10:27:27 +0900] "GET /javaWeb2/ajax/ajax1.html HTTP/1.1" 200 689
0:0:0:0:0:0:0:1 - - [10/Mar/2020:10:31:07 +0900] "GET /javaWeb2/ajax/ajax1.html HTTP/1.1" 200 731
0:0:0:0:0:0:0:1 - - [10/Mar/2020:10:31:14 +0900] "GET /javaWeb2/ajax/ajax1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:10:31:14 +0900] "GET /javaWeb2/ajax/ajax1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:10:31:14 +0900] "GET /javaWeb2/ajax/ajax1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:10:31:14 +0900] "GET /javaWeb2/ajax/ajax1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:10:34:10 +0900] "GET /javaWeb2/ajax/ajax1.html HTTP/1.1" 200 928
0:0:0:0:0:0:0:1 - - [10/Mar/2020:10:34:10 +0900] "GET /javaWeb2/ajax/ajax1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:10:35:10 +0900] "GET /javaWeb2/ajax/ajax1.html HTTP/1.1" 200 952
0:0:0:0:0:0:0:1 - - [10/Mar/2020:10:35:12 +0900] "GET /javaWeb2/ajax/a1_aa.txt HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Mar/2020:10:42:01 +0900] "GET /javaWeb2/ajax/ajax1.html HTTP/1.1" 200 1077
0:0:0:0:0:0:0:1 - - [10/Mar/2020:10:42:03 +0900] "GET /javaWeb2/ajax/a1_aa.txt HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Mar/2020:10:45:03 +0900] "GET /javaWeb2/ajax/ajax1.html HTTP/1.1" 200 1097
0:0:0:0:0:0:0:1 - - [10/Mar/2020:10:45:03 +0900] "GET /javaWeb2/ajax/ajax1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:10:45:03 +0900] "GET /javaWeb2/ajax/ajax1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:10:45:04 +0900] "GET /javaWeb2/ajax/a1_aa.txt HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Mar/2020:10:48:48 +0900] "GET /javaWeb2/ajax/ajax1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:10:48:49 +0900] "GET /javaWeb2/ajax/ajax1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:10:48:49 +0900] "GET /javaWeb2/ajax/ajax1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:10:48:49 +0900] "GET /javaWeb2/ajax/a1_aa.txt HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Mar/2020:10:49:00 +0900] "GET /javaWeb2/ajax/ajax1.html HTTP/1.1" 200 1191
0:0:0:0:0:0:0:1 - - [10/Mar/2020:10:49:01 +0900] "GET /javaWeb2/ajax/a1_aa.txt HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Mar/2020:11:16:00 +0900] "GET /javaWeb2/ajax/ajax1.html HTTP/1.1" 200 1416
0:0:0:0:0:0:0:1 - - [10/Mar/2020:11:16:01 +0900] "GET /javaWeb2/ajax/a1_aa.txt HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Mar/2020:11:16:04 +0900] "GET /javaWeb2/ajax/ajax1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:11:16:04 +0900] "GET /javaWeb2/ajax/ajax1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:11:16:04 +0900] "GET /javaWeb2/ajax/ajax1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:11:16:04 +0900] "GET /javaWeb2/ajax/ajax1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:11:16:05 +0900] "GET /javaWeb2/ajax/ajax1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:11:16:05 +0900] "GET /javaWeb2/ajax/ajax1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:11:16:05 +0900] "GET /javaWeb2/ajax/ajax1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:11:16:05 +0900] "GET /javaWeb2/ajax/ajax1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:11:16:05 +0900] "GET /javaWeb2/ajax/ajax1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:11:16:05 +0900] "GET /javaWeb2/ajax/ajax1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:11:16:06 +0900] "GET /javaWeb2/ajax/ajax1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:11:16:06 +0900] "GET /javaWeb2/ajax/ajax1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:11:16:06 +0900] "GET /javaWeb2/ajax/ajax1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:11:16:06 +0900] "GET /javaWeb2/ajax/a1_aa.txt HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Mar/2020:11:16:09 +0900] "GET /javaWeb2/ajax/a1_aa.txt HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Mar/2020:11:16:18 +0900] "GET /javaWeb2/ajax/a1_aa.txt HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Mar/2020:11:16:21 +0900] "GET /javaWeb2/ajax/ajax1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:11:16:21 +0900] "GET /javaWeb2/ajax/ajax1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:11:16:21 +0900] "GET /javaWeb2/ajax/ajax1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:11:16:21 +0900] "GET /javaWeb2/ajax/ajax1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:11:16:21 +0900] "GET /javaWeb2/ajax/ajax1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:11:16:22 +0900] "GET /javaWeb2/ajax/a1_aa.txt HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Mar/2020:11:18:09 +0900] "GET /javaWeb2/ajax/ajax2.html HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [10/Mar/2020:11:18:14 +0900] "GET /javaWeb2/ajax/a1_aa.txt HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Mar/2020:11:18:35 +0900] "GET /javaWeb2/ajax/a1_aa.txt HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Mar/2020:11:20:57 +0900] "GET /javaWeb2/ajax/ajax1.html HTTP/1.1" 200 1430
0:0:0:0:0:0:0:1 - - [10/Mar/2020:11:20:58 +0900] "GET /javaWeb2/ajax/a1_aa.txt HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Mar/2020:11:23:18 +0900] "GET /javaWeb2/ajax/ajax1.html HTTP/1.1" 200 1431
0:0:0:0:0:0:0:1 - - [10/Mar/2020:11:23:18 +0900] "GET /javaWeb2/ajax/a1_aa.txt HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Mar/2020:11:23:27 +0900] "GET /javaWeb2/ajax/ajax1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:11:23:27 +0900] "GET /javaWeb2/ajax/ajax1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:11:23:28 +0900] "GET /javaWeb2/ajax/ajax1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:11:23:28 +0900] "GET /javaWeb2/ajax/ajax1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:11:23:28 +0900] "GET /javaWeb2/ajax/a1_aa.txt HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Mar/2020:11:23:42 +0900] "GET /javaWeb2/ajax/a1_aa.txt HTTP/1.1" 404 781
