지역,최저기온
서울,17
인천,16
수원,17
파주,16
이천,17
평택,17
춘천,17
원주,18
강릉,19
대전,18
세종,18
홍성,17
청주,18
충주,17
영동,16
광주,18
목포,18
여수,18
순천,18
광양,18
나주,16
전주,18
군산,18
정읍,17
남원,17
고창,17
무주,15
부산,18
울산,18
창원,17
진주,16
거창,16
통영,18
대구,19
안동,17
포항,19
경주,18
울진,17
울릉도,17
제주,19
서귀포,19
